Num,Name
030106001001001,禾本科羊茅属高羊茅
030106001002001,禾本科山羊草属具节山羊草
030106001003001,禾本科虉草属奇异虉草
030106001003002,禾本科虉草属金丝雀虉草
030106001003003,禾本科虉草属球茎虉草
030106001004001,禾本科狼尾草属狼尾草
030106001004002,禾本科狼尾草属御谷
030106001004003,禾本科狼尾草属美洲狼尾草
030106001005001,禾本科高粱属黑高粱
030106001005002,禾本科高粱属苏丹草
030106001005003,禾本科高粱属假高粱（及其杂交种）
030106001005004,禾本科高粱属糖高粱
030106001005005,禾本科高粱属高粱
030106001005006,禾本科高粱属黑高粱
030106001006001,禾本科狗尾草属金色狗尾草
030106001006002,禾本科狗尾草属狗尾草/狼尾草/谷莠子
030106001006003,禾本科狗尾草属莠狗尾草
030106001007001,禾本科狗牙根属狗牙草（狗牙根、绊根草）
030106001008001,禾本科野黍属野黍（发杉、拉拉草、唤猪草）
030106001008002,禾本科野黍属路易斯安纳野黍
030106001009001,禾本科燕麦属野燕麦（乌麦、燕麦、大蟹钩）
030106001009002,禾本科燕麦属不实野燕麦
030106001009003,禾本科燕麦属燕麦
030106001009004,禾本科燕麦属法国野燕麦
030106001009005,禾本科燕麦属细茎野燕麦
030106001009006,禾本科燕麦属毛燕麦
030106001010001,禾本科蒺藜草属刺蒺藜草
030106001010002,禾本科蒺藜草属长刺蒺藜草
030106001010003,禾本科蒺藜草属刺苞草/刺苞果
030106001010004,禾本科蒺藜草属疏花蒺藜草
030106001010005,禾本科蒺藜草属美洲蒺藜草
030106001010006,禾本科蒺藜草属印度蒺藜草
030106001010007,禾本科蒺藜草属少花蒺藜草
030106001010008,禾本科蒺藜草属水牛草
030106001011001,禾本科黑麦草属/毒麦属黑麦草
030106001011002,禾本科黑麦草属/毒麦属波斯黑麦草/欧黑麦草/欧毒麦
030106001011003,禾本科黑麦草属/毒麦属田毒麦
030106001011004,禾本科黑麦草属/毒麦属毒麦
030106001012001,禾本科黍属黍/稷
030106001012002,禾本科黍属糖稷/糠稷
030106001013001,禾本科雀稗属雀稗
030106001013002,禾本科雀稗属棕籽雀稗/粽子雀稗
030106001014001,禾本科燕麦草属 野燕麦
030106001015001,禾本科棒头草属棒头草
030106001016001,禾本科大麦属大麦
030106001016002,禾本科大麦属墙大麦
030106001017001,禾本科穇属牛筋草
030106001018001,禾本科小麦/普通小麦
030106001019001,禾本科雀麦属黑雀麦
