Num,Name,,,,,
010105050120001,天牛科星天牛属光肩星天牛,,,,,
010105050120002,天牛科星天牛属星天牛,,,,,
010105050126001,天牛科刺虎天牛属四带刺尾虎天牛,,,,,
010105050127001,天牛科尼虎天牛属黑腹尼虎天牛,,,,,
010105050133001,天牛科红背天牛属红背天牛,,,,,
010105050134001,天牛科黄腹锥鞘天牛,,,,,
010105050135001,天牛科裸角天牛属中华薄翅天牛,,,,,
010105050137001,天牛科粒肩天牛属桑天牛,,,,,
010105050212001,天牛科折斑尼胸天牛,,,,,
010105050214001,天牛科锥鞘天牛属黑齿斑天牛,,,,,
010105050003001,天牛科皮花天牛属密毛皮花天牛,,,,,
010105050030001,天牛科梗天牛属褐梗天牛,,,,,
010105050131001,天牛科断眼天牛属暗褐断眼天牛,,,,,
010105050131002,天牛科断眼天牛属光胸断眼天牛,,,,,
010105050038001,天牛科棍腿天牛属黄褐棍腿天牛,,,,,
010105050039001,天牛科绿虎天牛属竹虎天牛,,,,,
010105050040001,天牛科丽虎天牛属箭丽虎天牛,,,,,
010105050040002,天牛科丽虎天牛属截尾丽虎天牛,,,,,
010105050041001,天牛科脊虎天牛属青杨脊虎天牛,,,,,
010105050041002,天牛科脊虎天牛属叉脊虎天牛,,,,,
010105050083001,天牛科天牛属栎天牛,,,,,
010105050084001,天牛科绿绒天牛属爪哇木棉棘胸天牛,,,,,
010105050162001,天牛科泽米天牛,,,,,
010105050321001,天牛科刺尾脊筒天牛,,,,,
010105050051001,天牛科草天牛属白粒草天牛,,,,,
010105059001001,小蠹科根小蠹属欧洲根小蠹,,,,,
010105059001002,小蠹科根小蠹属云杉根小蠹,,,,,
010105059002001,小蠹科齿小蠹属六齿小蠹/松六齿小蠹,,,,,
010105059002002,小蠹科齿小蠹属重齿小蠹,,,,,
010105059002003,小蠹科齿小蠹属十二齿小蠹/松十二齿小蠹,,,,,
010105059002004,小蠹科齿小蠹属落叶松八齿小蠹,,,,,
010105059002005,小蠹科齿小蠹属云杉八齿小蠹,,,,,
010105059002006,小蠹科齿小蠹属美雕齿小蠹（粗齿小蠹）,,,,,
010105059002007,小蠹科齿小蠹属南部松齿小蠹（光间十齿小蠹）,,,,,
010105059002008,小蠹科齿小蠹属美松齿小蠹/云杉松齿小蠹,,,,,
010105059002009,小蠹科齿小蠹属北美西部松齿小蠹/阔齿齿小蠹,,,,,
010105059002010,小蠹科齿小蠹属中重齿小蠹,,,,,
010105059002011,小蠹科齿小蠹属粗点六齿小蠹/粒(雅)点六齿小蠹,,,,,
010105059002012,小蠹科齿小蠹属韩式齿小蠹/洪氏齿小蠹,,,,,
010105059003001,小蠹科瘤小蠹属松瘤小蠹,,,,,
010105059003002,小蠹科瘤小蠹属边瘤小蠹,,,,,
010105059003003,小蠹科瘤小蠹属近瘤小蠹,,,,,
010105059004001,小蠹科星坑小蠹属中穴星坑小蠹,,,,,
010105059005001,小蠹科四眼小蠹属云杉四眼小蠹,,,,,
010105059005002,小蠹科四眼小蠹属冷杉四眼小蠹,,,,,
010105059005003,小蠹科四眼小蠹属小四眼小蠹,,,,,
010105059006001,小蠹科切梢小蠹属横坑切梢小蠹,,,,,
010105059006002,小蠹科切梢小蠹属纵坑切梢小蠹,,,,,
010105059007001,小蠹科小蠹属橡木小蠹/毛束小蠹,,,,,
010105059007002,小蠹科小蠹属欧洲榆小蠹,,,,,
010105059007003,小蠹科小蠹属欧桦小蠹,,,,,
010105059007004,小蠹科小蠹属脐腹小蠹,,,,,
010105059007005,小蠹科小蠹属欧洲大榆小蠹,,,,,
010105059008001,小蠹科木小蠹属黑条木小蠹,,,,,
010105059009001,小蠹科材小蠹属凹缘材小蠹,,,,,
010105059009002,小蠹科材小蠹属小粒材小蠹,,,,,
010105059009003,小蠹科材小蠹属暗翅材小蠹,,,,,
010105059009004,小蠹科材小蠹属四粒材小蠹,,,,,
010105059009005,小蠹科材小蠹属对粒材小蠹（甘蔗材小蠹）,,,,,
010105059009006,小蠹科材小蠹属赤材小蠹,,,,,
010105059009007,小蠹科材小蠹属橡胶材小蠹/伴随材小蠹,,,,,
010105059010001,小蠹科足距小蠹属光滑材小蠹（桤材小蠹）/光滑阔材小蠹,,,,,
010105059010002,小蠹科足距小蠹属暗翅材小蠹/亚洲小蠹,,,,,
010105059010003,小蠹科足距小蠹属阔面材小蠹,,,,,
010105059011001,小蠹科大小蠹属南部松小蠹/南松大小蠹,,,,,
010105059011002,小蠹科大小蠹属黄杉大小蠹,,,,,
010105059011003,小蠹科大小蠹属中欧山松大小蠹/山松大小蠹,,,,,
010105059011004,小蠹科大小蠹属红翅大小蠹,,,,,
010105059011005,小蠹科大小蠹属红脂大小蠹,,,,,
010105059012001,小蠹科褐小蠹属/咪小蠹属咖啡果小蠹,,,,,
010105059013001,小蠹科马氏芳小蠹,,,,,
010105059014001,小蠹科林小蠹属长林小蠹,,,,,
010105059015001,小蠹科脊间小蠹属沟纹脊间小蠹,,,,,
010105059015002,小蠹科脊间小蠹属尾瘤脊间小蠹,,,,,
010105059015003,小蠹科脊间小蠹属冈田脊间小蠹,,,,,
010105059016001,小蠹科椰小蠹属棕榈核小蠹/枣核椰小蠹,,,,,
010105059017001,小蠹科毛小蠹属额毛小蠹,,,,,
010105059017002,小蠹科毛小蠹属混点毛小蠹,,,,,
010105059018001,小蠹科贵小蠹属缝锤小蠹,,,,,
010106005001001,实蝇科离腹寡毛实蝇属/蜡实蝇属/果实蝇属桔小实蝇,,,,,
010106005001002,实蝇科离腹寡毛实蝇属/蜡实蝇属/果实蝇属南亚果实蝇/南亚实蝇,,,,,
010106005001003,实蝇科离腹寡毛实蝇属/蜡实蝇属/果实蝇属瓜实蝇,,,,,
010106005001004,实蝇科离腹寡毛实蝇属/蜡实蝇属/果实蝇属番石榴实蝇,,,,,
